sent_to,no. PFDs,no. recipients,no. replies,no. complete responses,no. partial responses,no. overdue responses,no. pending responses
Adult and Community Services Suffolk County Council,1,2,0,0,0,1,0
Adult Social Care – Leeds City Council,1,1,1,1,0,0,0
Adult Safeguarding Civic Centre,1,2,2,1,0,0,0
Adullam Homes Housing Association,1,1,0,0,0,1,0
Adferiad Recovery,1,2,0,0,0,1,0
Aden Nursing Home,1,1,1,1,0,0,0
Adelaide Medical Centre,1,3,3,1,0,0,0
Barts Hospital NHS Trust,1,1,0,0,0,1,0
Barts and London School of Medicine and Dentistry,1,2,0,0,0,1,0
Barts and Whipps Trust,1,1,1,1,0,0,0
British Travel Agents,1,1,1,1,0,0,0
British Sub Aqua Club,1,2,2,1,0,0,0
British Standards Institution,1,1,3,1,0,0,0
British Society of Interventional Radiology,1,2,1,0,0,1,0
British Society of Gastroenterology,1,2,2,1,0,0,0
British Renal Society,1,5,2,0,0,1,0
British Parachute Association,1,1,1,1,0,0,0
British National Formulary,1,6,5,0,1,0,0
British Mountaineering Council,1,2,2,1,0,0,0
British Maternal and Fetal Medicine Society,1,2,1,0,0,1,0
British Kite Surfing Association,1,1,1,1,0,0,0
British Gliding Association,1,2,2,1,0,0,0
British Cardiovascular,1,3,4,0,0,1,0
British Cardiac Intervention Society,1,2,1,0,0,1,0
British Association of Dermatologists,1,6,5,0,1,0,0
British Association Perinatal Medicine,1,4,0,0,0,1,0
Bristol NHS Trust,1,1,0,0,0,1,0
Bristol Clinical Commissioning Group,1,3,1,0,0,1,0
Bristol Ambulance Emergency Medical Services,1,4,0,0,0,0,1
Brisdoc,1,2,0,0,0,1,0
Brighton and Hove Clinical Commission Group,1,3,1,0,0,1,0
Bridgend County Borough Council,1,2,2,1,0,0,0
Brancaster Care,1,1,1,1,0,0,0
Bradford Royal Infirmary,1,1,1,1,0,0,0
Bradford Metropolitan Borough Council,1,1,0,0,0,1,0
Brace Street Health Centre,1,2,1,0,1,0,0
British Transplantation Society,1,2,1,0,1,0,0
Broadgate General Practice and General Medical Council,1,1,1,1,0,0,0
Bowden Derra Park Ltd,1,1,1,1,0,0,0
Broadlane View Care Home,1,1,0,0,0,1,0
CPTA,1,1,0,0,0,1,0
CORMAC – Cornwall Council – Highways Department,1,1,1,1,0,0,0
CNWL,1,2,0,0,0,1,0
CMHT Commissioners,1,2,2,1,0,0,0
CMF Limited,1,2,2,1,0,0,0
CLS Care Services,1,1,1,1,0,0,0
CAT,1,2,0,0,0,1,0
CAMHS,1,3,4,0,1,0,0
Byron Hamburgers,1,6,3,0,0,1,0
Bute House Surgery,1,1,0,0,0,1,0
Bury Rochdale & Oldham Clinical Commissioning Groups,1,4,1,0,0,1,0
Bury Council,1,1,0,0,0,1,0
Bury Clinical Commissioning Group,1,1,0,0,0,1,0
Burton Hospitals NHS Trust,1,1,0,0,0,1,0
Burton Croft Surgery,1,1,1,1,0,0,0
Bureau Veritas UK Ltd,1,4,0,0,0,1,0
Buckinghamshire Healthcare NHS Trust,1,2,0,0,0,1,0
Buckingham Council Children’s Services,1,1,1,1,0,0,0
Bucher Municipal Ltd,1,2,2,1,0,0,0
Brunswick Retirement Village,1,1,0,0,0,1,0
Broomcroft House Nursing Home,1,2,0,0,0,1,0
Brompton NHS Trust,1,2,3,0,1,0,0
Bromley CCG,1,2,2,1,0,0,0
Bromford Lane Nursing Home,1,1,1,1,0,0,0
Broadmoor Hospital,1,1,1,1,0,0,0
Bowmere Hospital,1,1,0,0,0,1,0
Bournemouth Churches Housing Association BCHA,1,1,1,1,0,0,0
Basildon Hospital NHS Trust,1,1,1,1,0,0,0
Birmingham Women and Childrens Hospital NHS Foundation,1,1,0,0,0,1,0
Birmingham Community NHS Trust,1,5,1,0,0,1,0
Birmingham Children’s Hospital NHS Trust,1,5,0,0,0,1,0
Betsi Cadwaladr University NHS Trust,1,1,0,0,0,1,0
Berkshire Integrated Care Board,1,5,0,0,0,1,0
Berkeley Home Health,1,1,1,1,0,0,0
Belong Village,1,2,2,1,0,0,0
Belgravia Care Home Ltd,1,1,1,1,0,0,0
Beko Plc,1,1,0,0,0,1,0
Beechwood Lodge Care Home,1,1,1,1,0,0,0
Beechdene Residential Home,1,3,1,0,0,1,0
Beechdale Medical Group,1,1,0,0,0,1,0
Beech Cliffe Grange Care Homes,1,1,1,1,0,0,0
Bedfordshire Police Constabulary,1,2,1,0,0,1,0
Bedford Hospital,1,1,0,0,0,1,0
Bedford Borough Council,1,1,1,1,0,0,0
Beatson Clark,1,1,0,0,0,1,0
Bayer Plc,1,1,2,0,0,1,0
Baycroft Care Homes,1,1,0,0,0,1,0
Bausch & Lomb UK Ltd,1,12,9,0,1,0,0
Bath and North East Somerset Clinical Commissioning Group,1,3,0,0,0,1,0
Bateman Engineering Ltd,1,2,2,1,0,0,0
Bassetlaw Clinical Commissioning Group,1,3,0,0,0,1,0
Bassetlaw,1,7,2,0,1,0,0
Basildon and Thurrock University Hospital Trust,1,1,0,0,0,1,0
Basildon Hospital Trust,1,1,0,0,0,1,0
Birmingham Prison,1,3,1,0,0,1,0
Birmingham Women’s NHS Trust,1,3,0,0,0,1,0
Bournemouth Borough Council,1,1,1,1,0,0,0
Birmingham and Solihull Integrated Care System,1,2,0,0,0,1,0
Bourne House,1,1,0,0,0,1,0
Bounce Til I Die,1,1,0,0,0,1,0
Borough Care Ltd,1,1,1,1,0,0,0
Borough Care Limited,1,1,1,1,0,0,0
Boots UK Ltd,1,2,0,0,0,1,0
Boots UK Limted,1,3,0,0,0,1,0
Bondcare Limited,1,1,0,0,0,1,0
Bondcare Clarendon Care Home,1,4,0,0,0,1,0
Bolton NHS Trust,1,1,1,1,0,0,0
Bolton Hospital NHS Trust,1,1,1,1,0,0,0
Boldmere Court Care Home,1,3,1,0,0,1,0
Boehringer Ingelheim Limited,1,1,1,1,0,0,0
Bodmin Road Health Centre,1,3,3,1,0,0,0
Bluebird Care (Kent),1,1,0,0,0,1,0
Bluebird Care,1,3,0,0,0,1,0
Blenheim House Care Home,1,1,1,1,0,0,0
Blatchington Mill School,1,2,0,0,0,1,0
Blaenau Gwent County Borough Council,1,1,1,1,0,0,0
Blackpool Victoria Hospital,1,1,0,0,0,1,0
Blackpool Teaching Hospital,1,2,0,0,0,1,0
Blackpool Council,1,1,0,0,0,1,0
Blackpool CCG,1,3,4,1,0,0,0
Black Country Pathological Service,1,2,3,0,0,1,0
Black Country NHS Trust,1,2,0,0,0,1,0
Black Country NHS,1,2,0,0,0,1,0
Egg London Nightclub,1,1,0,0,0,1,0
Eldercare,1,5,2,0,0,1,0
Elizabeth House Oldham Limited,1,1,0,0,0,1,0
Landsec,1,1,0,0,0,1,0
Leicestershire and Rutland Integrated Care Board,1,1,0,0,0,1,0
Leicester Partnership NHS Trust,1,1,1,1,0,0,0
Leicester NHS Trust,1,1,1,1,0,0,0
Leicester City Council,1,1,2,0,0,1,0
Leek Health Centre,1,3,1,0,0,1,0
Leeds Teaching hospitals and York Hospital Legal trust,1,1,0,0,0,1,0
Leeds Martial Arts College,1,1,0,0,0,1,0
Leeds City Council Highways Department,1,1,1,1,0,0,0
Lean on Me Care Agency,1,1,1,1,0,0,0
Langley Health Centre,1,5,0,0,0,1,0
Langford Centre,1,2,0,0,0,1,0
Langdon Hospital,1,2,0,0,0,0,1
Lands Estates and Property Housing and Land Directorate Greater London Authority,1,3,1,0,0,1,0
Elm Tree Court Care Home,1,2,1,0,1,0,0
Lands End Resort,1,3,0,0,0,1,0
Landlord,1,1,1,1,0,0,0
Land Owner,1,2,1,0,0,1,0
Lancs & Cumbria Lifts UK Ltd,1,3,0,0,0,1,0
Lancashire and South Cumbria NHS Foundation Trust,1,1,1,1,0,0,0
Lancashire County Council,1,1,1,1,0,0,0
Lancashire Care Foundation Trust,1,1,0,0,0,1,0
Lambton House LTD,1,1,1,1,0,0,0
Lambton Care Home,1,1,1,1,0,0,0
Lambeth Borough Council,1,2,2,1,0,0,0
Lakeview Care Home,1,3,1,0,1,0,0
Laing O’Rourke UK & Europe,1,2,2,1,0,0,0
Leonard Cheshire,1,1,0,0,0,1,0
Levelling up and Home Office,1,1,1,1,0,0,0
Lewisham & Greenwich NHS Trust,1,4,3,0,1,0,0
Lifeshield Medical Services Limited,1,1,1,1,0,0,0
London Royal Borough of Greenwich,1,2,1,0,0,1,0
London North Western Railways,1,1,1,1,0,0,0
London Fire Brigade,1,1,1,1,0,0,0
London Central & West Unscheduled Care Collaborative,1,12,9,0,1,0,0
London Bridge Hospital,1,5,3,0,1,0,0
London Borough of Wandsworth,1,1,0,0,0,1,0
London Borough of Redbridge Council,1,3,0,0,0,1,0
London Borough of Lewisham Adult Care Services,1,2,1,0,0,1,0
London Borough of Lambeth,1,2,1,0,1,0,0
London Borough of Hounslow,1,2,1,0,0,1,0
Lodge Road Surgery,1,2,0,0,0,1,0
Lockfield Surgery,1,2,1,0,0,1,0
Locala,1,9,5,0,1,0,0
Local Health Board,1,3,4,0,1,0,0
Livewell South West,1,1,1,1,0,0,0
Liverpool Heart and Chest Hospital NHS Trust,1,2,2,1,0,0,0
Litch Care for Action,1,2,1,0,0,1,0
Lister House Oakwood,1,1,0,0,0,1,0
Lisson Grove Health Centre,1,2,1,0,1,0,0
Linden House Surgery,1,5,3,0,1,0,0
Lincs Firwood Co Ltd,1,2,1,0,0,1,0
Lincolnshire Hospitals NHS Trust,1,1,1,1,0,0,0
Lincolnshire Community Health Service NHS Trust,1,1,1,1,0,0,0
Lime Tree Surgery,1,1,1,1,0,0,0
Lifeskills,1,2,2,1,0,0,0
LTHTR,1,1,0,0,0,1,0
LTE Group,1,1,0,0,0,1,0
LPFT Legal Services,1,2,1,0,0,0,1
Isle of Wight Council,1,1,2,1,0,0,0
Ipswich Hospital,1,1,0,0,0,1,0
Interweave,1,1,1,1,0,0,0
International Maritime Organisation,1,2,1,0,1,0,0
Intensive Care Society of England and Wales,1,1,0,0,0,1,0
Intensive Care Medicine,1,1,0,0,0,0,1
Integrated Health Board NHS Sussex,1,2,0,0,0,1,0
Insure and Co,1,1,0,0,0,1,0
Institution of Gas Engineers,1,4,0,0,0,1,0
Instastop Ltd,1,1,1,1,0,0,0
Inspector of Diving,1,2,0,0,0,1,0
Inmind Healthcare Group,1,1,1,1,0,0,0
Informa Healthcare,1,5,3,0,0,1,0
Independent Monitoring Board,1,2,2,1,0,0,0
Independent Healthcare Providers Network,1,2,1,0,0,1,0
"Independent Futures, Southwinds Care Home",1,1,1,1,0,0,0
Independence Homes Limited,1,1,1,1,0,0,0
Incarace,1,2,2,1,0,0,0
Impact Housing Association,1,1,1,1,0,0,0
Ideal Care Home Ltd,1,1,0,0,0,1,0
Ice Hockey UK,1,2,0,0,0,1,0
Hywel Dda Health Board,1,3,0,0,0,1,0
Hylton View Care Home,1,1,0,0,0,1,0
Hurst Hall Care Centre,1,1,0,0,0,1,0
Hunters Lodge Care Home,1,1,1,1,0,0,0
Humber Bridge Board,1,1,1,1,0,0,0
Islands Roads,1,1,1,1,0,0,0
Isle of Wight Highways Department,1,1,1,1,0,0,0
LNER,1,2,2,1,0,0,0
JD Wetherspoon PLC,1,1,0,0,0,1,0
LEC Refrigeration,1,2,0,0,0,1,0
L&Q Group Housing,1,1,0,0,0,1,0
Kockey Road Medical Centre,1,1,1,1,0,0,0
Knowle House Surgery,1,1,2,0,0,1,0
Kingston Hospital NHS Trust,1,2,1,0,1,0,0
Kingsley Care Home,1,2,1,0,0,1,0
King Street Medical Practice,1,2,0,0,0,1,0
Kindandental,1,2,2,1,0,0,0
Kernow CCG,1,2,2,1,0,0,0
Kent and Medway NHS,1,1,1,1,0,0,0
Kent and Medway Cancer Collaborative,1,1,0,0,0,1,0
Kent and Canterbury Hospital,1,1,1,1,0,0,0
Kendray Hospital,1,2,1,0,0,1,0
Kendal Calling,1,3,3,1,0,0,0
Justice Secretary,1,2,2,1,0,0,0
Jubilee Stores,1,3,1,0,1,0,0
Jubilee Gardens Care Centre,1,5,5,1,0,0,0
Jubilee Court Nursing Home,1,2,0,0,0,1,0
Johnson and Johnson Medical Devices,1,2,1,0,0,1,0
Johnnie Johnson Housing,1,1,1,1,0,0,0
Jigsaw Homes Tameside,1,1,1,1,0,0,0
Jigsaw Homes Group,1,2,1,0,1,0,0
Jet2.com Ltd,1,2,2,1,0,0,0
James Paget University Hospital NHS Trust,1,2,0,0,0,1,0
JV Ltd,1,2,2,1,0,0,0
London Underground,1,1,0,0,0,1,0
London and South Eastern Railway,1,1,1,1,0,0,0
111 Service,1,2,2,1,0,0,0
Mitie Group,1,3,0,0,0,1,0
Mitie Care & Custody,1,7,0,0,0,1,0
Ministry of Justice Coroners,1,1,1,1,0,0,0
Ministry of Housing Communities and Local Government,1,2,0,0,0,1,0
Ministry for Justice,1,1,0,0,0,1,0
Ministry for Housing and Local Government,1,1,1,1,0,0,0
Ministry for Defence,1,1,0,0,0,1,0
Minister of Suicide Prevention,1,4,3,0,0,1,0
Minister of State for Prisons,1,1,1,1,0,0,0
Minister of State for Disabled People Health and Work,1,4,2,0,0,1,0
Minister for Prisons,1,2,1,0,0,1,0
Minister for Health and Social Services,1,3,1,0,1,0,0
Minister for Health Welsh Assembly Government,1,2,1,0,0,1,0
Minister for Health,1,3,2,0,0,1,0
Milton Keynes City Council,1,2,0,0,0,0,1
Millbrook Healthcare Limited,1,1,0,0,0,1,0
Mill View Nursing Home,1,3,0,0,0,1,0
Military Aviation Authority,1,2,0,0,0,1,0
Milford House Care Home,1,2,0,0,0,1,0
Milestones Trust,1,1,0,0,0,1,0
Midwifery and Maternity Portsmouth Hospitals NHS Trust,1,2,1,0,1,0,0
Midlands and Lancashire Commissioning Support Unit,1,2,1,0,0,1,0
Midgehole Working Mens Club,1,1,1,1,0,0,0
Mid Essex CCG Trust,1,4,3,0,1,0,0
Mid Cheshire NHS Trust,1,1,0,0,0,1,0
Mid Cheshire Hospitals NHS Foundation Trust,1,1,0,0,0,1,0
Mitie Care and Custody,1,5,0,0,0,1,0
Monmouth County Council,1,1,2,0,0,1,0
Merseyside Passenger Transport Authority,1,1,0,0,0,1,0
Monmouthshire County Council,1,1,0,0,0,1,0
NHS Professionals Limited,1,2,0,0,0,1,0
NHS Oldham CCG,1,3,3,1,0,0,0
NHS Northern Eastern and Western Devon CCG,1,2,1,0,0,1,0
NHS Kernow,1,3,1,0,0,1,0
NHS Hardwick CCG,1,2,1,0,1,0,0
NHS Hardwick,1,4,4,1,0,0,0
NHS England: Wales and Scotland,1,5,0,0,0,1,0
NHS England: Department of Health,1,3,4,0,1,0,0
NHS England NHS Improvements,1,2,2,1,0,0,0
NHS England CCG,1,1,2,0,0,1,0
NHS East Leicestershire and Rutland CGC,1,3,0,0,0,1,0
NHS Care Commissioning Group,1,2,1,0,0,1,0
NHS Calderdale CCG,1,3,2,0,1,0,0
NHS Blood and Transplant,1,2,1,0,1,0,0
NHS Birmingham and Solihull Integrated Care Board,1,3,0,0,0,0,1
NHS 111,1,3,0,0,0,1,0
NEAS NHS Trust,1,2,1,0,0,1,0
NEAS Foundation Trust,1,4,3,0,1,0,0
NAViGO Grimsby,1,2,1,0,0,0,1
Mylan Pharmaceuticals,1,8,2,0,1,0,0
My The Orchards Ltd,1,2,0,0,0,1,0
My Care Ltd,1,2,0,0,0,1,0
Motor Cross Federation,1,1,1,1,0,0,0
Morton Hall Immigration Removal Centre,1,2,0,0,0,1,0
Moorfields Eye Hospital NHS Foundation Trust,1,1,1,1,0,0,0
Merthyr Tydfil County Borough Council,1,1,1,1,0,0,0
Mersey Care NHS Trust,1,2,0,0,1,0,0
Longton Police Station,1,2,0,0,0,1,0
Marble Ideas Ltd,1,1,1,1,0,0,0
Mansfield District Council,1,1,0,0,0,0,1
Manor Field Surgery,1,1,1,1,0,0,0
Manchester University Foundation Trust MFT,1,2,2,1,0,0,0
Manchester United Football Club Digital Culture Media and Sport,1,2,3,0,0,1,0
Manchester Royal Infirmary,1,2,0,0,0,1,0
Manchester Police,1,1,1,1,0,0,0
Manchester CCG,1,2,0,0,0,1,0
Manchester Airport Group,1,4,2,0,0,1,0
Managing Director of Cegedim,1,3,2,0,1,0,0
Maidstone and Tunbridge Wells NHS Foundation Trust,1,1,1,1,0,0,0
Magenta Living Support Link,1,1,1,1,0,0,0
Maesteg Comprehensive School,1,2,2,1,0,0,0
MRHA,1,1,0,0,0,1,0
MK together Partnership,1,2,1,0,0,1,0
MIRUS Wales,1,1,1,1,0,0,0
MAC Skip Hire Limited,1,1,0,0,0,1,0
M C Federation,1,2,1,0,1,0,0
M & S Water Services,1,2,2,1,0,0,0
Lynmere Nursing home,1,1,1,1,0,0,0
Luton & Dunstable University Hospital NHS Trust,1,2,2,1,0,0,0
Luton & Dunstable NHS Trust,1,1,0,0,0,1,0
Ludlow Street Healthcare,1,1,2,0,0,1,0
Lower Clapton Group Practice,1,1,1,1,0,0,0
Low Moor Medical Practice,1,1,0,0,0,1,0
Lord Chancellor,1,1,1,1,0,0,0
Mansfield and Ashfield,1,7,2,0,1,0,0
Maria Mallaband Care Group,1,2,1,0,0,1,0
Merlin Entertainment Limited,1,2,0,0,0,1,0
Maritime & Coastguard Agency,1,1,0,0,0,1,0
Mercedes-Benz,1,2,2,1,0,0,0
Melbourne Ambulance Station,1,2,0,0,0,1,0
Medway Community Healthcare,1,1,0,0,0,1,0
Medtronic,1,5,0,0,0,1,0
Medicspro,1,2,0,0,0,1,0
Medico Legal Manager,1,2,1,0,1,0,0
Medicines and Healthcare products Regulation Agency,1,1,1,1,0,0,0
Medicine and Health Care Products Regulatory Agency,1,1,0,0,0,1,0
Medication and Healthcare Products Regulatory Agency,1,5,0,0,0,1,0
Medical Officer Welsh Government,1,2,2,1,0,0,0
Medical Director Leeds Teaching Hospitals NHS Trust,1,2,0,0,0,1,0
Medical Centre Stalybridge,1,4,2,0,0,1,0
Medical Care Council,1,3,1,0,0,1,0
Medica Reporting Service,1,1,0,0,0,1,0
Medica Reporting Ltd,1,2,2,1,0,0,0
Media City UK,1,2,2,1,0,0,0
MedPure Healthcare,1,1,1,1,0,0,0
Meade Close Care Home,1,4,2,0,1,0,0
Meadbank Care Home,1,2,1,0,1,0,0
Mayor of Greater Manchester,1,3,2,0,1,0,0
Maylands Health Care,1,4,0,0,0,1,0
Mayday Group,1,1,1,1,0,0,0
Maurice Mason Ltd,1,1,1,1,0,0,0
Masta Limited,1,1,2,0,0,1,0
Marks and Spencer,1,1,1,1,0,0,0
Human Resources,1,1,0,0,0,1,0
Human Race Limited,1,1,1,1,0,0,0
Human Kind Charity,1,2,0,0,0,1,0
Govia Thameslink Railways,1,2,2,1,0,0,0
Governor HMP Hewell,1,2,1,0,0,1,0
Government Legal Department,1,2,2,1,0,0,0
Google,1,8,0,0,0,0,1
Goodmayes Hospital NHS Trust,1,1,0,0,0,1,0
Goodmayes Hospital Foundation Trust,1,1,0,0,0,1,0
Goodmayes Hospital,1,2,0,0,0,1,0
Goals Soccer Centres PLC,1,2,1,0,0,1,0
Gloucestershire Police,1,6,2,0,1,0,0
Gloucestershire Clinical Group,1,2,0,0,0,1,0
Gloucestershire Clinical Commissioning Group,1,2,0,0,0,1,0
Globe Court Care Home,1,1,0,0,0,1,0
Glenroyd Medical Practice,1,2,0,0,0,1,0
Glenholme Holdingham Grange Care Home,1,1,1,1,0,0,0
Glebelands Care Team,1,1,0,0,0,1,0
Glangwili General Hospital,1,2,0,0,0,1,0
"George Eliot Hospital NHS Trust, Nuneaton, Warwickshire",1,5,0,0,0,1,0
General Dental Council,1,5,0,0,0,1,0
General Council,1,1,1,1,0,0,0
General Chiropractic Council,1,1,0,0,0,1,0
Gender Identity Clinic,1,4,0,0,0,0,1
Gateshead Health Foundation Trust,1,1,0,0,0,1,0
Gas Safe Network,1,4,0,0,0,1,0
GRS Recovery,1,1,1,1,0,0,0
GP Surgery Parkway Health Centre,1,1,0,0,0,1,0
GP Practice Orchard Surgery,1,4,0,0,0,1,0
Govia Thameslink Railway Ltd,1,2,2,1,0,0,0
Grange Care Home,1,1,0,0,0,1,0
GE Healthcare,1,2,2,1,0,0,0
Grange Clinic,1,2,1,0,0,1,0
HICA Group,1,2,1,0,1,0,0
HCA Health Care UK,1,5,3,0,1,0,0
HC One Limited,1,1,0,0,0,1,0
H R Healthcare Limited,1,2,1,0,1,0,0
Gwynedd Council,1,1,1,1,0,0,0
Gwern Alyn House Residential Home,1,1,1,1,0,0,0
Gwent Police,1,1,0,0,0,1,0
Guinness Care,1,1,2,0,0,1,0
Greenbrook Healthcare,1,2,2,1,0,0,0
Green Porch Medical Centre,1,1,1,1,0,0,0
Greater Manchester Stroke Operational Delivery Network,1,2,0,0,0,1,0
Greater Manchester Mental Health and Social Care,1,3,0,0,0,1,0
Greater Manchester Mental Health NHS Foundation Trust GMMH,1,4,4,1,0,0,0
Greater Manchester Mental Health & Social Care Trust,1,2,2,1,0,0,0
Greater Manchester Mental Health,1,2,2,1,0,0,0
Greater Manchester Medicines Management Group,1,2,1,1,0,0,0
Greater Manchester Integrated Care Partnership Board,1,1,0,0,0,1,0
Greater Manchester Health and Social Care Partnership/ Integrated Care Board,1,4,0,0,0,0,1
Greater Manchester Fire and Rescue Service,1,1,1,1,0,0,0
Great Western Railway,1,1,1,1,0,0,0
Great Ormond Street Hospital NHS Trust,1,1,1,1,0,0,0
Great Ormond Street Hospital,1,2,1,0,0,1,0
Gravesham Borough Council,1,1,0,0,0,0,1
Grassy Meadow Care Centre,1,1,1,1,0,0,0
Grasmere Surgery,1,2,2,1,0,0,0
GMC Fitness to Practise Team,1,1,0,0,0,1,0
G4S Medical Services,1,4,4,1,0,0,0
HM Prison Bedford,1,1,0,0,0,1,0
Farnham Medical Centre,1,5,0,0,0,1,0
FCO,1,1,1,1,0,0,0
FA Group,1,1,0,0,0,1,0
Exeter University,1,1,1,1,0,0,0
Exeter Prison,1,1,0,0,0,1,0
Excel Care,1,1,0,0,0,1,0
Essex Highways,1,1,0,0,0,1,0
Essex County Council,1,2,0,0,0,0,1
Essex Community Rehabilitation Company,1,3,2,0,1,0,0
Epsom General Hospital,1,3,1,0,0,1,0
Environmental Services Associations,1,4,4,1,0,0,0
Environment Agency,1,2,2,1,0,0,0
English Ice Hockey,1,2,0,0,0,1,0
England Boxing,1,2,2,1,0,0,0
Enfield Clinical Commissioning Group,1,12,9,0,1,0,0
Endless Street Surgery,1,2,2,1,0,0,0
Emsworth Surgery,1,1,1,1,0,0,0
Emral House Nursery Home,1,1,0,0,0,1,0
Emirates Airlines,1,4,2,0,0,1,0
Emergency Preparedness Resilience and Response,1,3,1,0,1,0,0
Emergency Operation Centre Norwich,1,2,0,0,0,1,0
Emergency Call Prioritisation Advisory Group ECPAG,1,3,1,0,0,1,0
Emergency Call Prioritisation Advisory Group,1,4,1,0,0,1,0
Elvy Court Nursing Home,1,2,1,0,1,0,0
Elmbridge and Ewell Borough Council,1,3,0,0,0,1,0
Elmbridge Borough Council,1,1,0,0,0,1,0
Fairfield View Care Centre,1,2,1,0,1,0,0
Federation of Piling Specialists,1,2,1,0,0,1,0
G45,1,3,2,0,0,1,0
Fern House Surgery,1,4,3,0,1,0,0
Future Care & Social Care Association,1,3,2,0,1,0,0
Frome Nursing Home,1,1,0,0,0,1,0
Friendship Care and Housing Limited,1,1,0,0,0,1,0
Fremington Medical Centre,1,5,4,0,1,0,0
Fremantle Trust,1,1,0,0,0,1,0
Free the Way,1,1,1,1,0,0,0
Foxhound Association,1,2,1,0,0,1,0
Four Seasons Healthcare,1,2,1,0,1,0,0
Four Seasons Health Care,1,3,1,0,1,0,0
Forestry Commission,1,3,3,1,0,0,0
"Foreign, Commonwealth and Development Office",1,2,0,0,0,1,0
Foreign and Commonwealth Office,1,1,0,0,0,1,0
Foreign Office,1,1,1,1,0,0,0
Football Association,1,2,1,0,0,1,0
Flintshire County Council,1,5,1,0,0,1,0
Fitzalan Medical Group,1,2,1,0,0,1,0
Fisher and Paykel,1,5,3,0,1,0,0
First Response Group,1,2,1,0,1,0,0
First Port Retirement Property Services Limited,1,1,1,1,0,0,0
First Mainline,1,1,1,1,0,0,0
First Class Care,1,1,1,1,0,0,0
First Aid Cover Limited,1,3,0,0,0,1,0
Fire Officers Association,1,3,2,0,0,1,0
"Festival Republic, Leeds City Council",1,4,0,0,0,1,0
Fernlea Nursing Home,1,3,3,1,0,0,0
HM Inspectorate of Probation,1,1,0,0,0,1,0
HM Prison Cardiff,1,1,1,1,0,0,0
Hull and East Riding NHS Trust The Local Medical Committee,1,2,0,0,0,1,0
Highlands and Trafalgar Square Surgery,1,1,1,1,0,0,0
High St Surgery,1,2,0,0,0,1,0
High Commissioner for Saint Lucia to the UK,1,1,0,0,0,1,0
Heywood Health,1,3,0,0,0,1,0
Hewett School,1,1,0,0,0,1,0
Herts Urgent care Limited,1,3,0,0,0,1,0
Hertfordshire Trading Standards,1,2,2,1,0,0,0
Heritage Attractions Ltd,1,3,0,0,0,1,0
Herefordshire and Worcestershire Healthy Minds,1,1,1,1,0,0,0
Herefordshire Clinical Commission Group,1,2,0,0,0,1,0
Herefordshire & Worcestershire Health and Care NHS Trust,1,1,1,1,0,0,0
Hereford Medical Group,1,1,0,0,0,1,0
Hereford County Hospital,1,1,1,1,0,0,0
Heaton Norris Health Centre,1,3,1,0,0,1,0
Heaton Moor Medical Group,1,1,0,0,0,1,0
Heaton Moor Medical Centre,1,2,1,0,1,0,0
Heaton Medical Centre,1,1,0,0,0,1,0
Heathrow Airport,1,1,0,0,0,1,0
Heathcotes Group,1,2,1,0,1,0,0
Healthcare UK&I,1,3,2,0,0,1,0
Healthcare Management Solutions Ltd,1,1,0,0,0,1,0
Healthcare Care UK,1,2,2,1,0,0,0
Health and Communities Wakefield,1,1,1,1,0,0,0
Health Inspectorate Wales,1,3,1,0,1,0,0
Health Education and Improvement Wales,1,1,1,1,0,0,0
Head of the Roman Catholic Church of England and Wales,1,1,1,1,0,0,0
Highgrove Rest Home,1,1,0,0,0,1,0
Highways Agency Essex County Council,1,1,1,1,0,0,0
Head of Healthcare HMP Leeds,1,2,0,0,0,1,0
"Highways Authority, Cornwall Council",1,2,1,0,0,1,0
Hull University Teaching Hospitals NHS Trust,1,1,0,0,0,1,0
Hull Combined Court Centre,1,1,1,1,0,0,0
Housing of Vulnerable People Building Safety,1,1,1,1,0,0,0
Hounslow Borough Council,1,2,2,1,0,0,0
Hoults Limited,1,2,0,0,0,1,0
Hospital NHS Trust Derriford Hospital,1,2,1,0,0,1,0
Hospital Death (Clinical Procedures and medical management) related deaths,1,3,0,0,0,1,0
Hopwood House Medical Practice,1,3,3,1,0,0,0
Honda UK,1,3,0,0,0,1,0
Homerton University NHS Trust,1,2,0,0,0,1,0
Home Farm Trust Limited,1,1,1,1,0,0,0
Home Care Support Limited,1,2,1,0,0,1,0
Holy Cross Hospital,1,1,1,1,0,0,0
Holmleigh Care Homes Ltd,1,2,1,0,1,0,0
Holmes Care Group Limited,1,1,0,0,0,1,0
Hirst Electrical Plant Hire Services UK Ltd,1,1,1,1,0,0,0
Hindley Health Centre Pharmacy,1,2,1,0,0,1,0
Hilton Hotel,1,2,2,1,0,0,0
Hillingdon Council,1,3,0,0,0,1,0
Hillbrook Grange Residential Care Home,1,1,1,1,0,0,0
"Highways and Infrastructure, Birmingham City Council",1,1,1,1,0,0,0
Highways Infrastructure Development and Waste,1,1,0,0,0,1,0
Highways England National Traffic Operations Centre,1,1,1,1,0,0,0
Highways Department – Salford City Council,1,1,1,1,0,0,0
Highways Department Birmingham City Council,1,1,1,1,0,0,0
Head of Safeguarding,1,1,2,0,0,1,0
Hazelmere Medical Centre,1,3,3,1,0,0,0
HM Prison Leeds,1,2,0,0,0,1,0
HMYOI Cookham Wood,1,1,1,1,0,0,0
